area,area_code,year,obesity,employment_rate,no_adults_in_employment,white,air_emission,median_income,house_price
Bromley 035,E02000159,2011,11.23188406,63.92352452,2.2,90.2378156,79.8080081,45.001,283.75
Bromley 036,E02000160,2011,18.0952381,67.23707665,1.7,93.5336049,79.30943557,35.374,280
Bromley 037,E02000161,2011,12.21719457,67.01631702,1.4,88.3234245,78.47819296,45.352,395
Bromley 039,E02000162,2011,13.19148936,63.23846486,2.8,90.5423577,74.50378834,35.787,239.75
Bromley 040,E02000163,2011,17.16738197,66.86615887,1.7,92.8888889,74.60670121,32.275,275
Bromley 041,E02000164,2011,15.09433962,64.29484448,2.6,95.9396391,73.04532678,40.665,315
Bromley 042,E02000165,2011,14.37125749,72.65167265,2,95.3158268,73.17030685,38.75,320
Camden 001,E02000166,2011,15.24390244,63.65448505,5,79.3791015,98.8638913,42.65,495
Camden 002,E02000167,2011,,71.75870858,1.5,84.8187311,103.6004881,71.771,922.5
Camden 003,E02000168,2011,14.03508772,68.13687019,4,78.2183064,115.8134232,43.197,397.5
Camden 004,E02000169,2011,,61.42141067,2.2,75.8805814,108.1631439,72.851,927.75
Camden 005,E02000170,2011,12.62135922,71.85832839,2.5,74.3223795,108.0093504,49.795,520
Camden 006,E02000171,2011,19.59459459,67.75638898,3.9,77.0785367,115.9048541,46.318,492.5
Camden 007,E02000172,2011,25.81602374,52.2194579,9.4,62.5603627,114.6428167,25.248,322.5
Camden 008,E02000173,2011,,70.70266644,1.8,70.0977199,120.5416149,60.006,713.5
Camden 009,E02000174,2011,19.65811966,63.92542275,5.6,67.8907505,113.9653135,31.969,430.5
Camden 010,E02000175,2011,18.11023622,71.99409554,3.5,70.2983725,120.1446463,43.267,432.5
Camden 011,E02000176,2011,,74.97076023,1,77.6871175,112.7841794,62.063,666.25
Camden 012,E02000177,2011,25.29182879,58.32338902,8.1,64.0143049,116.2011921,28.69,370
Camden 013,E02000178,2011,24.85207101,64.94632535,5.6,63.0800497,116.0447807,30.067,350
Camden 014,E02000179,2011,18.18181818,63.6285653,6.6,66.6455996,121.6315839,41.716,615
Camden 015,E02000180,2011,20.93023256,56.40012162,4.5,66.0692514,125.2050726,32.416,417.5
Camden 016,E02000181,2011,20.87912088,74.7184774,2.9,75.7913856,108.8305345,53.974,495.25
Camden 017,E02000182,2011,20.58823529,60.66666667,4.8,59.7133045,122.6836155,47.092,625
Camden 018,E02000183,2011,12.60504202,66.07627254,3.4,77.21471,111.1070323,48.659,665
Camden 019,E02000184,2011,24,52.74303582,6.9,59.0069804,128.1336922,26.058,330
Camden 020,E02000185,2011,22.08835341,57.57869249,7.3,57.9613993,120.4195664,26.41,375
Camden 021,E02000186,2011,11.76470588,60.45845272,3.5,69.4332287,126.2909521,35.37,505
Camden 022,E02000187,2011,25.3968254,44.04562227,9.6,47.0631514,125.2796369,21.851,400
Camden 023,E02000188,2011,29.00763359,41.83179903,6.8,48.3898101,130.692831,23.234,330
Camden 024,E02000189,2011,23.33333333,41.0663765,7.2,45.3734859,141.1552426,25.62,380
Camden 025,E02000190,2011,21.73913043,38.43857996,3.3,56.9853918,133.5553317,27.809,342.5
Camden 026,E02000191,2011,,40.11490866,1.3,56.7693744,151.8260064,34.232,537.5
Camden 027,E02000192,2011,23.59550562,58.93736805,6,58.516138,134.3978538,30.782,452.5
Camden 028,E02000193,2011,28.78787879,57.23606168,1.6,64.3905636,153.9280392,35.144,470
Croydon 001,E02000194,2011,22.45989305,67.34725207,5.6,60.4415823,93.97863643,31.945,218.5
Croydon 002,E02000195,2011,19.59183673,63.59739876,3.9,46.1101399,93.36867424,37.134,291.25
Croydon 003,E02000196,2011,28.11059908,58.04514015,6,35.6071863,92.9506739,29.358,250
Croydon 004,E02000197,2011,21.52777778,60.91134532,7.8,35.8808005,92.75533728,28.768,235
Croydon 005,E02000198,2011,29.53020134,59.96852046,9.1,37.3234201,94.74890519,25.836,188
Croydon 006,E02000199,2011,27.75510204,62.36020698,7.4,33.4045077,94.29658243,28.685,203.9
Croydon 007,E02000200,2011,25.09225092,63.15363445,7.7,45.8162527,92.44907586,27.756,180
Croydon 008,E02000201,2011,22.65861027,59.75855131,9.2,39.826108,92.05948949,24.27,170
Croydon 009,E02000202,2011,23.7012987,58.64504736,5.8,24.8479176,91.27957499,27.698,210
Croydon 010,E02000203,2011,27.92792793,59.46483457,7.1,29.0754742,95.30393899,25.648,166.5
Croydon 011,E02000204,2011,27.24358974,57.01128936,7.3,20.3359201,94.82367056,27.578,221.5
Croydon 013,E02000205,2011,26.15384615,61.14457831,8.6,50.1728723,88.34038213,24.553,164.25
Croydon 014,E02000206,2011,27.00729927,59.06231276,10,36.4503617,92.78789988,26.377,204
Croydon 015,E02000207,2011,23.51190476,60.15283843,9.7,45.9606623,90.88043124,23.258,162
Croydon 016,E02000208,2011,22.56267409,56.07746784,11.4,28.2635342,94.16386945,25.897,191.75
Croydon 017,E02000209,2011,22.69230769,58.69379381,9,27.7275969,94.88687666,31.27,213
Croydon 018,E02000210,2011,14.94845361,67.6042677,5.2,57.1720818,88.83645865,40.687,250
Croydon 019,E02000211,2011,27.82874618,67.57898294,2.3,74.625,84.94094291,23.897,187
Croydon 020,E02000212,2011,26.56826568,57.75070916,9.4,29.7547812,96.806677,23.328,180
Croydon 021,E02000213,2011,17.54385965,56.82044003,10.9,33.3158832,98.32324618,41.062,270
Croydon 022,E02000214,2011,21.47239264,67.33635774,2.8,67.2225786,90.09536961,29.986,205
Croydon 023,E02000215,2011,21.18644068,67.38333741,5,54.4780376,93.77833009,48.844,231.5
Croydon 024,E02000216,2011,22.09737828,65.26725374,2.4,49.1985752,88.06217215,27.511,180.648
Croydon 025,E02000217,2011,23.52941176,66.74479526,7.9,52.3431049,98.79902574,30.242,314.5
Croydon 026,E02000218,2011,21.51898734,59.9779978,10.5,59.9698795,83.4152575,47.716,308.75
Croydon 027,E02000219,2011,22,64.56302074,1.5,73.9526412,83.42088064,30.075,190
Croydon 028,E02000220,2011,20.59701493,69.33986591,4.6,58.1520089,101.0799615,27.59,215
Croydon 029,E02000221,2011,16.32653061,60.99147276,9,53.8492872,93.02813637,40.759,220
Croydon 030,E02000222,2011,23.69477912,70.86312989,3.6,69.1927512,90.08599035,19.464,162
Croydon 031,E02000223,2011,21.22905028,49.76249287,18.4,61.629435,82.59293002,36.609,209.5
Croydon 032,E02000224,2011,27.15517241,70.75537076,4.8,68.3368037,89.84179935,23.066,180
Croydon 033,E02000225,2011,17.8807947,60.03831418,9,77.6509622,79.32800128,48.232,347.5
Croydon 034,E02000226,2011,15.40785498,65.80024924,1.9,76.9200159,82.98862179,33.018,190
Croydon 035,E02000227,2011,14.44444444,67.36218139,4,79.9929892,79.34649119,56.797,380
Croydon 036,E02000228,2011,29.26829268,65.26528364,1.9,79.5242476,82.84872909,20.645,185
Croydon 037,E02000229,2011,14.46808511,54.33854908,12.5,74.6783809,79.05356556,46.726,250
Croydon 038,E02000230,2011,16.35220126,66.1778683,3.5,68.3026381,91.19828606,58.777,509.75
Croydon 039,E02000231,2011,12.62626263,64.43060498,2,67.4560833,83.41140604,40.983,295
Croydon 040,E02000232,2011,9.523809524,64.62971377,2.9,82.9547285,78.14590709,41.588,249.95
Croydon 041,E02000233,2011,21.98275862,66.00790514,4.8,75.3382233,83.02972371,41.247,249.975
Croydon 042,E02000234,2011,15.70680628,65.80744281,3.7,73.7255391,82.57483959,48.017,313
